      Beginning         Ending 
Month Balence   Payment Balance 
===== ========= ======= ======= 
    1 201000.00 1199.11 199800.89
    2 200799.89 1199.11 199600.78
    3 200598.79 1199.11 199399.68
    4 200396.68 1199.11 199197.57
    5 200193.55 1199.11 198994.44
    6 199989.42 1199.11 198790.31
    7 199784.26 1199.11 198585.15
    8 199578.07 1199.11 198378.96
    9 199370.86 1199.11 198171.75
   10 199162.61 1199.11 197963.50
   11 198953.32 1199.11 197754.21
   12 198742.98 1199.11 197543.87



  359 2383.31   1199.11   1184.20
  360 1190.12   1199.11     -8.99

Final balance to be refunded = -8.99
